t,xe,ye,vxe,vye,xm,ym,vxm,vym
771700.000000,6464734.303129,-6458503.091642,10.499822,1.869072,-169062759.318511,350006900.014844,-899.799012,-424.032858
771800.000000,6465784.219969,-6458316.051708,10.498515,1.871727,-169152733.616502,349964485.352379,-899.686939,-424.260386
771900.000000,6466834.006056,-6458128.746325,10.497207,1.874381,-169242696.704387,349922047.938613,-899.574810,-424.487884
772000.000000,6467883.661326,-6457941.175529,10.495898,1.877035,-169332648.576528,349879587.776610,-899.462624,-424.715351
772100.000000,6468933.185711,-6457753.339356,10.494589,1.879689,-169422589.227286,349837104.869437,-899.350382,-424.942787
772200.000000,6469982.579148,-6457565.237840,10.493279,1.882342,-169512518.651022,349794599.220161,-899.238083,-425.170193
772300.000000,6471031.841569,-6457376.871019,10.491969,1.884995,-169602436.842099,349752070.831852,-899.125729,-425.397568
772400.000000,6472080.972909,-6457188.238928,10.490658,1.887647,-169692343.794881,349709519.707579,-899.013318,-425.624912
772500.000000,6473129.973102,-6456999.341603,10.489346,1.890299,-169782239.503733,349666945.850414,-898.900850,-425.852226
772600.000000,6474178.842082,-6456810.179079,10.488034,1.892951,-169872123.963018,349624349.263431,-898.788326,-426.079509
772700.000000,6475227.579785,-6456620.751393,10.486720,1.895603,-169961997.167105,349581729.949703,-898.675746,-426.306761
772800.000000,6476276.186143,-6456431.058580,10.485407,1.898254,-170051859.110360,349539087.912307,-898.563110,-426.533982
772900.000000,6477324.661092,-6456241.100676,10.484092,1.900904,-170141709.787151,349496423.154319,-898.450417,-426.761173
773000.000000,6478373.004565,-6456050.877717,10.482777,1.903555,-170231549.191846,349453735.678817,-898.337668,-426.988332
773100.000000,6479421.216497,-6455860.389739,10.481461,1.906205,-170321377.318816,349411025.488882,-898.224862,-427.215461
773200.000000,6480469.296822,-6455669.636779,10.480145,1.908854,-170411194.162432,349368292.587594,-898.112001,-427.442559
773300.000000,6481517.245475,-6455478.618871,10.478828,1.911504,-170500999.717064,349325536.978036,-897.999083,-427.669627
773400.000000,6482565.062390,-6455287.336052,10.477510,1.914153,-170590793.977086,349282758.663291,-897.886108,-427.896663
773500.000000,6483612.747501,-6455095.788358,10.476192,1.916801,-170680576.936870,349239957.646444,-897.773078,-428.123669
773600.000000,6484660.300742,-6454903.975825,10.474873,1.919449,-170770348.590791,349197133.930583,-897.659991,-428.350643
773700.000000,6485707.722049,-6454711.898489,10.473553,1.922097,-170860108.933223,349154287.518793,-897.546848,-428.577587
773800.000000,6486755.011354,-6454519.556385,10.472233,1.924745,-170949857.958543,349111418.414165,-897.433649,-428.804500
773900.000000,6487802.168594,-6454326.949551,10.470912,1.927392,-171039595.661127,349068526.619789,-897.320393,-429.031382
774000.000000,6488849.193702,-6454134.078022,10.469590,1.930039,-171129322.035353,349025612.138756,-897.207082,-429.258233
774100.000000,6489896.086612,-6453940.941834,10.468268,1.932685,-171219037.075600,348982674.974159,-897.093714,-429.485054
774200.000000,6490942.847259,-6453747.541023,10.466945,1.935331,-171308740.776247,348939715.129093,-896.980290,-429.711843
774300.000000,6491989.475578,-6453553.875625,10.465621,1.937977,-171398433.131675,348896732.606654,-896.866809,-429.938601
774400.000000,6493035.971502,-6453359.945677,10.464297,1.940622,-171488114.136264,348853727.409938,-896.753273,-430.165328
774500.000000,6494082.334967,-6453165.751214,10.462972,1.943267,-171577783.784397,348810699.542043,-896.639680,-430.392025
774600.000000,6495128.565906,-6452971.292274,10.461647,1.945912,-171667442.070456,348767649.006070,-896.526032,-430.618690
774700.000000,6496174.664255,-6452776.568891,10.460320,1.948556,-171757088.988826,348724575.805120,-896.412327,-430.845324
774800.000000,6497220.629948,-6452581.581102,10.458993,1.951200,-171846724.533891,348681479.942294,-896.298565,-431.071927
774900.000000,6498266.462918,-6452386.328943,10.457666,1.953843,-171936348.700037,348638361.420696,-896.184748,-431.298500
775000.000000,6499312.163102,-6452190.812451,10.456338,1.956486,-172025961.481650,348595220.243432,-896.070875,-431.525041
775100.000000,6500357.730432,-6451995.031662,10.455009,1.959129,-172115562.873119,348552056.413607,-895.956945,-431.751551
775200.000000,6501403.164845,-6451798.986611,10.453679,1.961772,-172205152.868830,348508869.934329,-895.842960,-431.978030
775300.000000,6502448.466273,-6451602.677336,10.452349,1.964414,-172294731.463173,348465660.808708,-895.728918,-432.204478
775400.000000,6503493.634653,-6451406.103873,10.451018,1.967055,-172384298.650538,348422429.039853,-895.614820,-432.430894
775500.000000,6504538.669918,-6451209.266257,10.449687,1.969697,-172473854.425317,348379174.630876,-895.500666,-432.657280
775600.000000,6505583.572002,-6451012.164525,10.448355,1.972338,-172563398.781901,348335897.584890,-895.386456,-432.883635
775700.000000,6506628.340842,-6450814.798714,10.447022,1.974978,-172652931.714682,348292597.905009,-895.272190,-433.109958
775800.000000,6507672.976370,-6450617.168860,10.445689,1.977619,-172742453.218054,348249275.594350,-895.157868,-433.336250
775900.000000,6508717.478522,-6450419.274999,10.444354,1.980259,-172831963.286413,348205930.656028,-895.043490,-433.562511
776000.000000,6509761.847233,-6450221.117167,10.443020,1.982898,-172921461.914152,348162563.093162,-894.929056,-433.788741
776100.000000,6510806.082436,-6450022.695401,10.441684,1.985537,-173010949.095668,348119172.908872,-894.814565,-434.014940
776200.000000,6511850.184067,-6449824.009738,10.440348,1.988176,-173100424.825359,348075760.106278,-894.700019,-434.241107
776300.000000,6512894.152061,-6449625.060213,10.439012,1.990814,-173189889.097623,348032324.688504,-894.585417,-434.467243
776400.000000,6513937.986351,-6449425.846864,10.437674,1.993453,-173279341.906858,347988866.658671,-894.470759,-434.693348
776500.000000,6514981.686872,-6449226.369726,10.436336,1.996090,-173368783.247463,347945386.019906,-894.356044,-434.919422
776600.000000,6516025.253560,-6449026.628836,10.434998,1.998728,-173458213.113841,347901882.775334,-894.241274,-435.145464
776700.000000,6517068.686349,-6448826.624231,10.433658,2.001365,-173547631.500392,347858356.928083,-894.126448,-435.371476
776800.000000,6518111.985173,-6448626.355947,10.432318,2.004001,-173637038.401519,347814808.481282,-894.011566,-435.597455
776900.000000,6519155.149968,-6448425.824020,10.430978,2.006637,-173726433.811625,347771237.438061,-893.896627,-435.823404
777000.000000,6520198.180667,-6448225.028488,10.429636,2.009273,-173815817.725115,347727643.801551,-893.781633,-436.049321
777100.000000,6521241.077206,-6448023.969386,10.428294,2.011909,-173905190.136393,347684027.574886,-893.666583,-436.275207
777200.000000,6522283.839520,-6447822.646751,10.426952,2.014544,-173994551.039865,347640388.761199,-893.551477,-436.501062
777300.000000,6523326.467543,-6447621.060620,10.425609,2.017179,-174083900.429939,347596727.363626,-893.436315,-436.726885
777400.000000,6524368.961209,-6447419.211030,10.424265,2.019813,-174173238.301023,347553043.385304,-893.321097,-436.952677
777500.000000,6525411.320455,-6447217.098016,10.422920,2.022447,-174262564.647524,347509336.829370,-893.205824,-437.178437
777600.000000,6526453.545213,-6447014.721616,10.421575,2.025081,-174351879.463853,347465607.698965,-893.090494,-437.404166
777700.000000,6527495.635420,-6446812.081867,10.420229,2.027714,-174441182.744420,347421855.997229,-892.975108,-437.629864
