x	sin(x)	Ff	Fc	cos(x)-Ff	cos(x)-Fc
1.100000e+000	8.912074e-001	5.536495e-008	6.439007e-008	4.535961e-001	4.535961e-001
1.110000e+000	8.956987e-001	5.405116e-008	6.312176e-008	4.446615e-001	4.446615e-001
1.120000e+000	9.001004e-001	5.273197e-008	6.184714e-008	4.356824e-001	4.356824e-001
1.130000e+000	9.044122e-001	5.140750e-008	6.056633e-008	4.266598e-001	4.266597e-001
1.140000e+000	9.086335e-001	5.007789e-008	5.927947e-008	4.175945e-001	4.175944e-001
1.150000e+000	9.127639e-001	4.874327e-008	5.798668e-008	4.084874e-001	4.084874e-001
1.160000e+000	9.168031e-001	4.740378e-008	5.668809e-008	3.993395e-001	3.993395e-001
1.170000e+000	9.207506e-001	4.605954e-008	5.538384e-008	3.901516e-001	3.901516e-001
1.180000e+000	9.246060e-001	4.471070e-008	5.407404e-008	3.809248e-001	3.809248e-001
1.190000e+000	9.283690e-001	4.335740e-008	5.275884e-008	3.716598e-001	3.716598e-001
1.200000e+000	9.320391e-001	4.199975e-008	5.143836e-008	3.623577e-001	3.623577e-001
1.210000e+000	9.356160e-001	4.063790e-008	5.011274e-008	3.530194e-001	3.530194e-001
1.220000e+000	9.390994e-001	3.927200e-008	4.878210e-008	3.436457e-001	3.436457e-001
1.230000e+000	9.424888e-001	3.790216e-008	4.744659e-008	3.342377e-001	3.342377e-001
1.240000e+000	9.457840e-001	3.652853e-008	4.610634e-008	3.247962e-001	3.247962e-001
1.250000e+000	9.489846e-001	3.515125e-008	4.476147e-008	3.153223e-001	3.153223e-001
1.260000e+000	9.520903e-001	3.377046e-008	4.341213e-008	3.058169e-001	3.058169e-001
1.270000e+000	9.551009e-001	3.238629e-008	4.205844e-008	2.962808e-001	2.962808e-001
1.280000e+000	9.580159e-001	3.099888e-008	4.070055e-008	2.867152e-001	2.867152e-001
1.290000e+000	9.608351e-001	2.960837e-008	3.933859e-008	2.771208e-001	2.771208e-001
1.300000e+000	9.635582e-001	2.821490e-008	3.797270e-008	2.674988e-001	2.674988e-001
1.310000e+000	9.661850e-001	2.681861e-008	3.660301e-008	2.578500e-001	2.578500e-001
1.320000e+000	9.687151e-001	2.541963e-008	3.522965e-008	2.481754e-001	2.481754e-001
1.330000e+000	9.711484e-001	2.401812e-008	3.385278e-008	2.384760e-001	2.384760e-001
1.340000e+000	9.734845e-001	2.261420e-008	3.247252e-008	2.287528e-001	2.287528e-001
1.350000e+000	9.757234e-001	2.120802e-008	3.108901e-008	2.190067e-001	2.190067e-001
1.360000e+000	9.778646e-001	1.979972e-008	2.970240e-008	2.092386e-001	2.092386e-001
1.370000e+000	9.799081e-001	1.838944e-008	2.831281e-008	1.994497e-001	1.994497e-001
1.380000e+000	9.818535e-001	1.697732e-008	2.692039e-008	1.896408e-001	1.896408e-001
1.390000e+000	9.837008e-001	1.556350e-008	2.552528e-008	1.798130e-001	1.798130e-001
1.400000e+000	9.854497e-001	1.414813e-008	2.412762e-008	1.699671e-001	1.699671e-001
1.410000e+000	9.871001e-001	1.273134e-008	2.272755e-008	1.601043e-001	1.601043e-001
1.420000e+000	9.886518e-001	1.131328e-008	2.132520e-008	1.502255e-001	1.502254e-001
1.430000e+000	9.901046e-001	9.894091e-009	1.992072e-008	1.403316e-001	1.403316e-001
1.440000e+000	9.914583e-001	8.473909e-009	1.851425e-008	1.304237e-001	1.304237e-001
1.450000e+000	9.927130e-001	7.052880e-009	1.710593e-008	1.205028e-001	1.205028e-001
1.460000e+000	9.938684e-001	5.631146e-009	1.569589e-008	1.105698e-001	1.105698e-001
1.470000e+000	9.949243e-001	4.208849e-009	1.428429e-008	1.006257e-001	1.006257e-001
1.480000e+000	9.958808e-001	2.786131e-009	1.287126e-008	9.067162e-002	9.067161e-002
1.490000e+000	9.967378e-001	1.363134e-009	1.145694e-008	8.070845e-002	8.070844e-002
1.500000e+000	9.974950e-001	-5.999869e-011	1.004147e-008	7.073720e-002	7.073719e-002
1.510000e+000	9.981525e-001	-1.483126e-009	8.625004e-009	6.075888e-002	6.075887e-002
1.520000e+000	9.987101e-001	-2.906104e-009	7.207673e-009	5.077449e-002	5.077448e-002
1.530000e+000	9.991679e-001	-4.328793e-009	5.789621e-009	4.078502e-002	4.078501e-002
1.540000e+000	9.995258e-001	-5.751048e-009	4.370990e-009	3.079146e-002	3.079145e-002
1.550000e+000	9.997838e-001	-7.172728e-009	2.951922e-009	2.079483e-002	2.079482e-002
1.560000e+000	9.999417e-001	-8.593691e-009	1.532559e-009	1.079613e-002	1.079612e-002
1.570000e+000	9.999997e-001	-1.001379e-008	1.130423e-010	7.963367e-004	7.963266e-004
1.580000e+000	9.999576e-001	-1.143290e-008	-1.306486e-009	-9.203532e-003	-9.203542e-003
1.590000e+000	9.998156e-001	-1.285086e-008	-2.725883e-009	-1.920248e-002	-1.920249e-002
1.600000e+000	9.995736e-001	-1.426753e-008	-4.145007e-009	-2.919951e-002	-2.919952e-002
1.610000e+000	9.992316e-001	-1.568278e-008	-5.563717e-009	-3.919362e-002	-3.919363e-002
1.620000e+000	9.987897e-001	-1.709645e-008	-6.981871e-009	-4.918380e-002	-4.918381e-002
1.630000e+000	9.982480e-001	-1.850842e-008	-8.399327e-009	-5.916908e-002	-5.916909e-002
1.640000e+000	9.976064e-001	-1.991854e-008	-9.815942e-009	-6.914843e-002	-6.914844e-002
1.650000e+000	9.968650e-001	-2.132667e-008	-1.123158e-008	-7.912087e-002	-7.912088e-002
1.660000e+000	9.960240e-001	-2.273266e-008	-1.264609e-008	-8.908539e-002	-8.908540e-002
1.670000e+000	9.950833e-001	-2.413638e-008	-1.405933e-008	-9.904101e-002	-9.904102e-002
1.680000e+000	9.940432e-001	-2.553769e-008	-1.547117e-008	-1.089867e-001	-1.089867e-001
1.690000e+000	9.929037e-001	-2.693644e-008	-1.688147e-008	-1.189215e-001	-1.189216e-001
1.700000e+000	9.916648e-001	-2.833250e-008	-1.829007e-008	-1.288445e-001	-1.288445e-001
1.710000e+000	9.903268e-001	-2.972573e-008	-1.969685e-008	-1.387545e-001	-1.387545e-001
1.720000e+000	9.888898e-001	-3.111598e-008	-2.110165e-008	-1.486507e-001	-1.486507e-001
1.730000e+000	9.873538e-001	-3.250313e-008	-2.250435e-008	-1.585320e-001	-1.585320e-001
1.740000e+000	9.857192e-001	-3.388702e-008	-2.390480e-008	-1.683974e-001	-1.683974e-001
1.750000e+000	9.839859e-001	-3.526752e-008	-2.530285e-008	-1.782460e-001	-1.782460e-001
1.760000e+000	9.821543e-001	-3.664450e-008	-2.669838e-008	-1.880768e-001	-1.880768e-001
