v_y	closest approach
10144.000000	356020855.072291
10145.000000	355988980.795284
10146.000000	355957167.686441
10147.000000	355925373.000337
10148.000000	355893527.411892
10149.000000	355861530.479370
10150.000000	355829500.463586
10151.000000	355797448.826688
10152.000000	355765332.589734
10153.000000	355733111.361026
10154.000000	355700866.298193
10155.000000	355668585.320003
10156.000000	355636179.637011
10157.000000	355603715.444000
10158.000000	355571257.215810
10159.000000	355538861.489367
10160.000000	355506067.614954
10161.000000	355473335.029206
10162.000000	355440607.251096
10163.000000	355407816.742573
10164.000000	355374905.111557
10165.000000	355341962.711952
10166.000000	355308991.019141
10167.000000	355275899.059778
10168.000000	355242741.645682
10169.000000	355209591.379160
10170.000000	355176476.727894
10171.000000	355142991.173317
10172.000000	355109570.373101
10173.000000	355076136.770552
10174.000000	355042620.894080
10175.000000	355009009.918206
10176.000000	354975384.736086
10177.000000	354941824.655958
10178.000000	354907899.262446
10179.000000	354874006.016310
10180.000000	354840112.881270
10181.000000	354806150.357999
10182.000000	354772067.512303
10183.000000	354737973.455857
10184.000000	354703945.553457
10185.000000	354669558.881275
10186.000000	354635199.322298
10187.000000	354600837.416206
10188.000000	354566394.134935
10189.000000	354531845.931319
10190.000000	354497289.217154
10191.000000	354462790.821223
10192.000000	354427903.344073
10193.000000	354393083.778139
10194.000000	354358258.309460
10195.000000	354323307.674829
10196.000000	354288280.458982
10197.000000	354253258.464279
10198.000000	354218134.467984
10199.000000	354182869.719465
10200.000000	354147596.619613
10201.000000	354112392.336936
10202.000000	354076842.205628
10203.000000	354041310.101601
10204.000000	354005775.865891
10205.000000	353970130.988120
10206.000000	353934398.772464
10207.000000	353898664.430932
10208.000000	353862824.159233
10209.000000	353826853.669121
10210.000000	353790877.529861
10211.000000	353754968.249580
10212.000000	353718666.011238
10213.000000	353682434.906096
10214.000000	353646203.031780
10215.000000	353609827.200141
10216.000000	353573342.324291
10217.000000	353536862.209145
10218.000000	353500274.601867
10219.000000	353463591.387183
10220.000000	353426892.558931
10221.000000	353390096.339031
10222.000000	353353173.876729
10223.000000	353316257.847119
10224.000000	353279257.948607
10225.000000	353242081.753002
10226.000000	353204916.234203
10227.000000	353167794.746672
10228.000000	353130307.153095
10229.000000	353092893.420972
10230.000000	353055553.406645
10231.000000	353017842.390011
10232.000000	352980181.740229
10233.000000	352942595.376093
10234.000000	352904679.951551
10235.000000	352866773.699328
10236.000000	352828881.806501
10237.000000	352790812.499211
10238.000000	352752661.979056
10239.000000	352714523.263372
10240.000000	352676232.867060
10241.000000	352637839.432524
10242.000000	352599459.850922
10243.000000	352560934.060625
10244.000000	352522299.084041
