t	y	v	
1.760000	39434.722186	-17.260471	0.000000	0.000000
1.770000	39434.548601	-17.358480	0.000000	0.000000
1.780000	39434.374036	-17.456489	0.000000	0.000000
1.790000	39434.198492	-17.554497	0.000000	0.000000
1.800000	39434.021966	-17.652505	0.000000	0.000000
1.810000	39433.844461	-17.750512	0.000000	0.000000
1.820000	39433.665976	-17.848518	0.000000	0.000000
1.830000	39433.486511	-17.946524	0.000000	0.000000
1.840000	39433.306066	-18.044530	0.000000	0.000000
1.850000	39433.124640	-18.142529	0.000000	0.000000
1.860000	39432.942235	-18.240528	0.000000	0.000000
1.870000	39432.758850	-18.338527	0.000000	0.000000
1.880000	39432.574485	-18.436524	0.000000	0.000000
1.890000	39432.389139	-18.534522	0.000000	0.000000
1.900000	39432.202814	-18.632518	0.000000	0.000000
1.910000	39432.015509	-18.730514	0.000000	0.000000
1.920000	39431.827224	-18.828510	0.000000	0.000000
1.930000	39431.637959	-18.926505	0.000000	0.000000
1.940000	39431.447714	-19.024500	0.000000	0.000000
1.950000	39431.256489	-19.122488	0.000000	0.000000
1.960000	39431.064284	-19.220475	0.000000	0.000000
1.970000	39430.871100	-19.318462	0.000000	0.000000
1.980000	39430.676935	-19.416448	0.000000	0.000000
1.990000	39430.481791	-19.514434	0.000000	0.000000
2.000000	39430.285667	-19.612419	0.000000	0.000000
2.010000	39430.088563	-19.710404	0.000000	0.000000
2.020000	39429.890479	-19.808388	0.000000	0.000000
2.030000	39429.691415	-19.906371	0.000000	0.000000
2.040000	39429.491371	-20.004354	0.000000	0.000000
2.050000	39429.290348	-20.102330	0.000000	0.000000
2.060000	39429.088345	-20.200306	0.000000	0.000000
2.070000	39428.885362	-20.298280	0.000000	0.000000
2.080000	39428.681400	-20.396255	0.000000	0.000000
2.090000	39428.476457	-20.494228	0.000000	0.000000
2.100000	39428.270535	-20.592201	0.000000	0.000000
2.110000	39428.063634	-20.690174	0.000000	0.000000
2.120000	39427.855752	-20.788146	0.000000	0.000000
2.130000	39427.646891	-20.886117	0.000000	0.000000
2.140000	39427.437050	-20.984087	0.000000	0.000000
2.150000	39427.226230	-21.082057	0.000000	0.000000
2.160000	39427.014429	-21.180020	0.000000	0.000000
2.170000	39426.801650	-21.277982	0.000000	0.000000
2.180000	39426.587890	-21.375944	0.000000	0.000000
2.190000	39426.373151	-21.473905	0.000000	0.000000
2.200000	39426.157432	-21.571865	0.000000	0.000000
2.210000	39425.940734	-21.669825	0.000000	0.000000
2.220000	39425.723056	-21.767784	0.000000	0.000000
2.230000	39425.504399	-21.865742	0.000000	0.000000
2.240000	39425.284762	-21.963700	0.000000	0.000000
2.250000	39425.064145	-22.061657	0.000000	0.000000
2.260000	39424.842549	-22.159606	0.000000	0.000000
2.270000	39424.619974	-22.257555	0.000000	0.000000
2.280000	39424.396419	-22.355503	0.000000	0.000000
2.290000	39424.171884	-22.453451	0.000000	0.000000
2.300000	39423.946370	-22.551398	0.000000	0.000000
2.310000	39423.719877	-22.649344	0.000000	0.000000
2.320000	39423.492404	-22.747289	0.000000	0.000000
2.330000	39423.263952	-22.845234	0.000000	0.000000
2.340000	39423.034520	-22.943179	0.000000	0.000000
2.350000	39422.804109	-23.041122	0.000000	0.000000
2.360000	39422.572718	-23.139058	0.000000	0.000000
2.370000	39422.340348	-23.236993	0.000000	0.000000
2.380000	39422.106999	-23.334927	0.000000	0.000000
2.390000	39421.872670	-23.432861	0.000000	0.000000
2.400000	39421.637362	-23.530793	0.000000	0.000000
2.410000	39421.401075	-23.628726	0.000000	0.000000
2.420000	39421.163808	-23.726657	0.000000	0.000000
2.430000	39420.925563	-23.824588	0.000000	0.000000
2.440000	39420.686337	-23.922518	0.000000	0.000000
2.450000	39420.446133	-24.020447	0.000000	0.000000
2.460000	39420.204949	-24.118369	0.000000	0.000000
2.470000	39419.962786	-24.216289	0.000000	0.000000
2.480000	39419.719644	-24.314209	0.000000	0.000000
2.490000	39419.475523	-24.412128	0.000000	0.000000
2.500000	39419.230422	-24.510046	0.000000	0.000000
2.510000	39418.984343	-24.607964	0.000000	0.000000
2.520000	39418.737284	-24.705880	0.000000	0.000000
2.530000	39418.489246	-24.803796	0.000000	0.000000
2.540000	39418.240229	-24.901712	0.000000	0.000000
2.550000	39417.990233	-24.999626	0.000000	0.000000
2.560000	39417.739257	-25.097540	0.000000	0.000000
2.570000	39417.487303	-25.195446	0.000000	0.000000
2.580000	39417.234369	-25.293350	0.000000	0.000000
2.590000	39416.980457	-25.391254	0.000000	0.000000
2.600000	39416.725565	-25.489157	0.000000	0.000000
2.610000	39416.469695	-25.587059	0.000000	0.000000
2.620000	39416.212845	-25.684961	0.000000	0.000000
2.630000	39415.955016	-25.782862	0.000000	0.000000
2.640000	39415.696209	-25.880762	0.000000	0.000000
2.650000	39415.436422	-25.978661	0.000000	0.000000
2.660000	39415.175657	-26.076559	0.000000	0.000000
2.670000	39414.913912	-26.174449	0.000000	0.000000
2.680000	39414.651189	-26.272338	0.000000	0.000000
2.690000	39414.387486	-26.370226	0.000000	0.000000
2.700000	39414.122805	-26.468113	0.000000	0.000000
2.710000	39413.857145	-26.565999	0.000000	0.000000
2.720000	39413.590507	-26.663885	0.000000	0.000000
2.730000	39413.322889	-26.761770	0.000000	0.000000
2.740000	39413.054292	-26.859654	0.000000	0.000000
2.750000	39412.784717	-26.957537	0.000000	0.000000
2.760000	39412.514163	-27.055419	0.000000	0.000000
2.770000	39412.242630	-27.153292	0.000000	0.000000
2.780000	39411.970118	-27.251165	0.000000	0.000000
2.790000	39411.696628	-27.349036	0.000000	0.000000
2.800000	39411.422159	-27.446907	0.000000	0.000000
2.810000	39411.146711	-27.544777	0.000000	0.000000
2.820000	39410.870284	-27.642646	0.000000	0.000000
2.830000	39410.592879	-27.740514	0.000000	0.000000
2.840000	39410.314496	-27.838382	0.000000	0.000000
2.850000	39410.035133	-27.936248	0.000000	0.000000
2.860000	39409.754792	-28.034114	0.000000	0.000000
2.870000	39409.473472	-28.131970	0.000000	0.000000
2.880000	39409.191174	-28.229826	0.000000	0.000000
2.890000	39408.907897	-28.327680	0.000000	0.000000
2.900000	39408.623642	-28.425534	0.000000	0.000000
2.910000	39408.338408	-28.523387	0.000000	0.000000
2.920000	39408.052196	-28.621239	0.000000	0.000000
2.930000	39407.765005	-28.719090	0.000000	0.000000
2.940000	39407.476835	-28.816940	0.000000	0.000000
2.950000	39407.187687	-28.914789	0.000000	0.000000
2.960000	39406.897561	-29.012638	0.000000	0.000000
2.970000	39406.606456	-29.110476	0.000000	0.000000
2.980000	39406.314373	-29.208314	0.000000	0.000000
2.990000	39406.021312	-29.306151	0.000000	0.000000
3.000000	39405.727272	-29.403987	0.000000	0.000000
3.010000	39405.432253	-29.501822	0.000000	0.000000
3.020000	39405.136257	-29.599656	0.000000	0.000000
3.030000	39404.839282	-29.697489	0.000000	0.000000
3.040000	39404.541329	-29.795321	0.000000	0.000000
3.050000	39404.242397	-29.893153	0.000000	0.000000
3.060000	39403.942487	-29.990983	0.000000	0.000000
3.070000	39403.641599	-30.088813	0.000000	0.000000
3.080000	39403.339733	-30.186633	0.000000	0.000000
3.090000	39403.036889	-30.284451	0.000000	0.000000
3.100000	39402.733066	-30.382269	0.000000	0.000000
3.110000	39402.428265	-30.480085	0.000000	0.000000
3.120000	39402.122486	-30.577901	0.000000	0.000000
3.130000	39401.815729	-30.675716	0.000000	0.000000
3.140000	39401.507993	-30.773530	0.000000	0.000000
3.150000	39401.199280	-30.871343	0.000000	0.000000
3.160000	39400.889589	-30.969155	0.000000	0.000000
3.170000	39400.578919	-31.066966	0.000000	0.000000
3.180000	39400.267271	-31.164767	0.000000	0.000000
3.190000	39399.954646	-31.262566	0.000000	0.000000
3.200000	39399.641042	-31.360365	0.000000	0.000000
3.210000	39399.326460	-31.458162	0.000000	0.000000
3.220000	39399.010901	-31.555959	0.000000	0.000000
3.230000	39398.694363	-31.653755	0.000000	0.000000
3.240000	39398.376848	-31.751550	0.000000	0.000000
3.250000	39398.058354	-31.849344	0.000000	0.000000
3.260000	39397.738883	-31.947137	0.000000	0.000000
3.270000	39397.418434	-32.044928	0.000000	0.000000
3.280000	39397.097006	-32.142709	0.000000	0.000000
3.290000	39396.774602	-32.240489	0.000000	0.000000
3.300000	39396.451219	-32.338269	0.000000	0.000000
3.310000	39396.126858	-32.436047	0.000000	0.000000
3.320000	39395.801520	-32.533824	0.000000	0.000000
3.330000	39395.475204	-32.631600	0.000000	0.000000
3.340000	39395.147910	-32.729375	0.000000	0.000000
