x    	sin (x)	N=0.000000	N=2.000000	N=4.000000	N=6.000000	N=8.000000	N=10.000000	N=12.000000	N=14.000000	N=16.000000	N=18.000000	
3.300000	-0.157746	3.300000	0.571783	-0.145924	-0.155737	-0.022720	-39.882751	3404.329333	292617.485581	44353646.390604	-1.#IND00	
3.400000	-0.255541	3.400000	0.635619	-0.239192	-0.252576	-0.028739	-67.606133	7316.526031	703980.229823	121201556.356758	-1.#IND00	
3.500000	-0.350783	3.500000	0.730990	-0.328389	-0.346455	0.024252	-112.354393	15354.941464	1649796.367087	321221747.814308	-1.#IND00	
3.600000	-0.442520	3.600000	0.862848	-0.412125	-0.436269	0.168558	-183.254684	31516.523159	3772125.202550	827252025.134206	-1.#IND00	
3.700000	-0.529836	3.700000	1.036496	-0.488933	-0.520898	0.452121	-293.533158	63354.910630	8426425.558055	2073706544.492582	-1.#IND00	
3.800000	-0.611858	3.800000	1.257597	-0.557262	-0.599198	0.945533	-461.914797	124887.091119	18414702.918340	5067644979.895098	-1.#IND00	
3.900000	-0.687766	3.900000	1.532183	-0.615455	-0.669996	1.751860	-714.251238	241680.160012	39415374.306877	12090056721.767134	-1.#IND00	
4.000000	-0.756802	4.000000	1.866667	-0.661728	-0.732070	3.020272	-1085.243266	459617.283226	82721826.932189	28195235037.110146	-1.#IND00	
4.100000	-0.818277	4.100000	2.267850	-0.694145	-0.784132	4.964778	-1619.962725	859785.599022	170398151.031138	64352346380.754425	-1.#IND00	
4.200000	-0.871576	4.200000	2.742936	-0.710580	-0.824799	7.889793	-2374.613240	1583415.156857	344828748.070757	143902923564.592130	-1.#IND00	
4.300000	-0.916166	4.300000	3.299537	-0.708679	-0.852552	12.224711	-3415.550185	2873111.584850	686134942.715952	315595119129.866520	-1.#IND00	
4.400000	-0.951602	4.400000	3.945685	-0.685814	-0.865695	18.570346	-4814.937811	5140186.076242	1343475721.230568	679442325817.500490	-1.#IND00	
4.500000	-0.977530	4.500000	4.689844	-0.639024	-0.862292	27.760843	-6640.458770	9073308.611443	2590518511.336788	1437187533733.756100	-1.#IND00	
4.600000	-0.993691	4.600000	5.540915	-0.564952	-0.840094	40.945674	-8935.076845	15811883.515223	4922440398.451942	2989256382726.838400	-1.#IND00	
4.700000	-0.999923	4.700000	6.508251	-0.459772	-0.796447	59.697521	-11680.809920	27219747.190234	9223406283.340715	6118262683806.349600	-1.#IND00	
4.800000	-0.996165	4.800000	7.601664	-0.319099	-0.728189	86.153350	-14737.560021	46312833.239069	17052232096.995399	12331413224565.687000	-1.#IND00	
4.900000	-0.982453	4.900000	8.831437	-0.137898	-0.631510	123.197803	-17743.956497	77920905.432030	31123995846.495544	24490748280880.113000	-1.#IND00	
5.000000	-0.958924	5.000000	10.208333	0.089630	-0.501801	174.700256	-19961.484789	129701917.607761	56113009833.448654	47958136266914.055000	-1.#IND00	
5.100000	-0.925815	5.100000	11.743604	0.370170	-0.333462	245.819597	-20035.359319	213683018.394832	99977372488.910309	92649602607791.281000	-1.#IND00	
5.200000	-0.883455	5.200000	13.449003	0.711430	-0.119683	343.394054	-15634.959508	348581576.557323	176121645487.707430	176677243693488.500000	-1.#IND00	
5.300000	-0.832267	5.300000	15.336791	1.122294	0.147824	476.437311	-2922.289068	563272320.520257	306893463496.471920	332731755482179.940000	-1.#IND00	
5.400000	-0.772764	5.400000	17.419752	1.612996	0.479127	656.766915	24222.300760	901925652.774353	529183731222.489200	619145024802662.870000	-1.#IND00	
5.500000	-0.705540	5.500000	19.711198	2.195305	0.886439	899.796591	75313.412660	1431564868.082341	903314914974.597410	1138861907802111.000000	-1.#IND00	
5.600000	-0.631267	5.600000	22.224981	2.882737	1.384537	1225.530814	164842.886525	2253099860.881733	1527025360740.837900	2071645110793874.000000	-1.#IND00	
5.700000	-0.550686	5.700000	24.975505	3.690783	1.991250	1659.808005	314505.126835	3517323380.157569	2557287205140.749500	3728208347675499.000000	-1.#IND00	
5.800000	-0.464602	5.800000	27.977731	4.637157	2.728032	2235.848138	556296.948704	5447944800.644983	4244071397869.792000	6640350503101491.000000	-1.#IND00	
5.900000	-0.373877	5.900000	31.247192	5.742080	3.620611	2996.171726	936797.705866	8374541082.502420	6982195330858.809600	11709668258754842.000000	-1.#IND00	
6.000000	-0.279415	6.000000	34.800000	7.028571	4.699747	3994.970292	1523031.047107	12779397979.877701	11390339387995.836000	20450764543690540.000000	-1.#IND00	
6.100000	-0.182163	6.100000	38.652858	8.522781	6.002104	5301.023794	2410431.969931	19363692142.962727	18430596412995.691000	35385628306941908.000000	-1.#IND00	
6.200000	-0.083089	6.200000	42.823069	10.254345	7.571247	7001.278546	3733598.583496	29140451089.036568	29588079433579.520000	60677915508988312.000000	-1.#IND00	
6.300000	0.016814	6.300000	47.328545	12.256768	9.458783	9205.220131	5680705.324238	43564384767.791245	47138932351272.016000	103144993226266580.000000	-1.#IND00	
6.400000	0.116549	6.400000	52.187819	14.567844	11.725668	12050.200327	8512703.232280	64712218538.388260	74547636654269.406000	173860378693797760.000000	-1.#IND00	
6.500000	0.215120	6.500000	57.420052	17.230105	14.443695	15707.905387	12588745.359575	95531841634.018448	117052257614257.830000	290672205038179140.000000	-1.#IND00	
6.600000	0.311541	6.600000	63.045048	20.291308	17.697188	20392.185951	18399666.027217	140184762074.105350	182521241478064.120000	482132980592307970.000000	-1.#IND00	
6.700000	0.404850	6.700000	69.083259	23.804960	21.584924	26368.506781	26611829.052061	204514468095.837070	282700304782246.620000	793588916008508670.000000	-1.#IND00	
6.800000	0.494113	6.800000	75.555797	27.830877	26.222316	33965.318309	38124263.323975	296683896351.285460	435016565195820.750000	1296552082571475500.000000	-1.#IND00	
6.900000	0.578440	6.900000	82.484446	32.435792	31.743875	43587.702304	54142749.496252	428039006085.274960	665174361701870.620000	2103031069835943900.000000	-1.#IND00	
7.000000	0.656987	7.000000	89.891667	37.694001	38.305999	55733.701709	76275439.201710	614273349294.325070	1010869925897609.000000	3387304775783201800.000000	-1.#IND00	
7.100000	0.728969	7.100000	97.800613	43.688056	46.090114	71013.810830	106655714.002128	876991632298.379030	1527079180980559.200000	5418801875131921400.000000	-1.#IND00	
7.200000	0.793668	7.200000	106.235136	50.509508	55.306207	90174.177670	148099367.790422	1245799991157.852500	2293546412953190.000000	8611454125573167100.000000	-1.#IND00	
7.300000	0.850437	7.300000	115.219799	58.259695	66.196803	114124.156350	204304873.971600	1761088808954.453600	3425337212069919.500000	13597348096993622000.000000	-1.#IND00	
7.400000	0.898708	7.400000	124.779885	67.050589	79.041421	143968.945780	280107536.909349	2477722574242.600600	5087637807758249.000000	21336019147670151000.000000	-1.#IND00	
7.500000	0.938000	7.500000	134.941406	77.005692	94.161571	181048.162192	381800795.838252	3469913230909.423300	7516412161081072.000000	33275747741513527000.000000	-1.#IND00	
7.600000	0.967920	7.600000	145.731115	88.260995	111.926336	226981.319722	517540930.908312	4837632057624.363300	11047103856781188.000000	51590332987211424000.000000	-1.#IND00	
7.700000	0.988168	7.700000	157.176513	100.965994	132.758619	283721.336424	697855011.549333	6715014481018.159200	16154338793668162.000000	79524860991239586000.000000	-1.#IND00	
7.800000	0.998543	7.800000	169.305864	115.284769	157.142102	353617.345079	936276239.474204	9281337463493.406200	23506607766234544.000000	121898094902400780000.000000	-1.#IND00	
7.900000	0.998941	7.900000	182.148200	131.397129	185.628996	439488.270877	1250136003.642445	12775306459864.609000	34041264051634064.000000	185828845867947000000.000000	-1.#IND00	
8.000000	0.989358	8.000000	195.733333	149.499824	218.848670	544708.843995	1661548135.116038	17513586045584.357000	49066961716160144.000000	281781158269245030000.000000	-1.#IND00	
8.100000	0.969890	8.100000	210.091867	169.807832	257.517226	673309.946734	2198628203.310660	23914754500670.742000	70403016240496336.000000	425061230954697790000.000000	-1.#IND00	
8.200000	0.940731	8.200000	225.255203	192.555720	302.448131	830095.455109	2896999437.186122	32530169223436.383000	100568257748647650.000000	637951577428409970000.000000	-1.#IND00	
8.300000	0.902172	8.300000	241.255554	217.999072	354.563988	1020778.026631	3801647223.089729	44083610603192.328000	143035982617061500.000000	952740219383437980000.000000	-1.#IND00	
8.400000	0.854599	8.400000	258.125952	246.416018	414.909569	1252136.612920	4969196399.570428	59522043554143.883000	202576864085706180.000000	1416001701069422900000.000000	-1.#IND00	
8.500000	0.798487	8.500000	275.900260	278.108822	484.666216	1532198.841369	6470700054.520839	80080418414470.562000	285718502743993730.000000	2094621741373788300000.000000	-1.#IND00	
8.600000	0.734397	8.600000	294.613181	313.405579	565.167733	1870451.818417	8395045594.843095	107364150574878.470000	401359121502809540.000000	3084240824621425200000.000000	-1.#IND00	
8.700000	0.662969	8.700000	314.300267	352.661990	657.917925	2278085.362397	10853103920.549887	143453800145540.560000	561584289874841470.000000	4521040433363203700000.000000	-1.#IND00	
8.800000	0.584917	8.800000	334.997931	396.263232	764.609894	2768272.181282	13982771071.697838	191037554132432.340000	782750195131437820.000000	6598130698376502600000.000000	-1.#IND00	
8.900000	0.501021	8.900000	356.743454	444.625929	887.147286	3356490.075001	17955079274.452103	253578435780873.720000	1086915736937195500.000000	9588248625467734600000.000000	-1.#IND00	
9.000000	0.412118	9.000000	379.575000	498.200223	1027.667625	4060891.869126	22981586516.150826	335524778883389.120000	1503729701242318100.000000	13875079350124561000000.000000	-1.#IND00	
9.100000	0.319098	9.100000	403.531621	557.471949	1188.567941	4902729.482629	29323291340.198586	442574468442796.370000	2072909834362606600.000000	19996318257608657000000.000000	-1.#IND00	
9.200000	0.222890	9.200000	428.653269	622.964916	1372.532863	5906839.303813	37301363280.139320	582005833898222.000000	2847489490342695900.000000	28702663444769284000000.000000	-1.#IND00	
9.300000	0.124454	9.300000	454.980808	695.243308	1582.565404	7102196.902522	47310030169.156548	763090971163159.370000	3898056777119265800.000000	41038349318938994000000.000000	-1.#IND00	
9.400000	0.024775	9.400000	482.556019	774.914193	1822.020639	8522550.051205	59832022511.522919	997610764507088.500000	5318273398574597100.000000	58450711295741443000000.000000	-1.#IND00	
9.500000	-0.075151	9.500000	511.421615	862.630159	2094.642542	10207140.070685	75457043370.365189	1300495096509040.300000	7232038918086853600.000000	82938748407217549000000.000000	-1.#IND00	
9.600000	-0.174327	9.600000	541.621248	959.092069	2404.604203	12201522.667690	94903811151.532043	1690616812808925.200000	9802764948221122600.000000	117253905429162350000000.000000	-1.#IND00	
9.700000	-0.271761	9.700000	573.199521	1065.051953	2756.551726	14558500.700140	119046313760.550080	2191774111806367.200000	13245347715289381000.000000	165170560621446640000000.000000	-1.#IND00	
9.800000	-0.366479	9.800000	606.201997	1181.316025	3155.652085	17339182.703459	148945017587.326140	2833903350238594.500000	17841582590951238000.000000	231849276453370390000000.000000	-1.#IND00	
9.900000	-0.457536	9.900000	640.675208	1308.747841	3607.645241	20614182.548129	185883895557.007840	3654573019624466.000000	23959957918851621000.000000	324323128658553700000000.000000	-1.#IND00	
10.000000	-0.544021	10.000000	676.666667	1448.271605	4118.900866	24464977.287710	231414277242.458220	4700820120667745.000000	32081006830739034000.000000	452146858138289110000000.000000	-1.#IND00	
