time	x	y	v_x	v_y
9900.000000	-10493342.783581	-9601476.649222	4504.626738	-1596.144637
10000.000000	-10035569.164402	-9754265.725703	4650.941595	-1458.157561
10100.000000	-9563138.126605	-9892801.001974	4797.745526	-1310.952464
10200.000000	-9076010.445081	-10016124.621678	4944.836485	-1153.795804
10300.000000	-8574169.802889	-10123201.497951	5091.956436	-985.875065
10400.000000	-8057629.009509	-10212910.967402	5238.778504	-806.289639
10500.000000	-7526437.653733	-10284037.488691	5384.891021	-614.040839
10600.000000	-6980691.539639	-10335260.302161	5529.777664	-408.021129
10700.000000	-6420544.343642	-10365141.979369	5672.792710	-187.002735
10800.000000	-5846222.043622	-10372115.817793	5813.130104	50.373987
10900.000000	-5258040.813251	-10354472.084263	5949.784791	305.611805
11000.000000	-4656429.252227	-10310343.192916	6081.504302	580.366450
11100.000000	-4041956.042624	-10237688.037628	6206.728198	876.453342
11200.000000	-3415364.388593	-10134275.911599	6323.512435	1195.848574
11300.000000	-2777614.912618	-9997670.777273	6429.435266	1540.680092
11400.000000	-2129939.039325	-9825217.154663	6521.480957	1913.202901
11500.000000	-1473905.271483	-9614029.655743	6595.897663	2315.749085
11600.000000	-811501.090703	-9360989.316754	6648.026763	2750.639134
11700.000000	-145233.371232	-9062751.511552	6672.103633	3220.035179
11800.000000	521750.059574	-8715772.534621	6661.035648	3725.709153
11900.000000	1185516.167887	-8316365.078299	6606.174538	4268.690019
12000.000000	1841180.841439	-7860796.845518	6497.120161	4848.745985
12100.000000	2482727.700837	-7345451.171263	6321.625644	5463.654689
12200.000000	3102827.190128	-6767072.790522	6065.722567	6108.226865
12300.000000	3692686.468656	-6123123.435778	5714.247504	6773.094546
12400.000000	4241981.883628	-5412266.247982	5252.010334	7443.378675
12500.000000	4738951.009721	-4634977.967403	4665.853460	8097.535800
12600.000000	5170741.302548	-3794245.507943	3947.721880	8706.938059
12700.000000	5524108.132090	-2896235.903419	3098.491519	9236.963219
12800.000000	5786499.520469	-1950749.761074	2131.665362	9650.323959
12900.000000	5947440.834555	-971220.593735	1075.382228	9912.751139
13000.000000	5999963.988521	25931.548841	-28.931529	9999.922844
13100.000000	5941698.813132	1022606.878760	-1131.934042	9903.295041
13200.000000	5775270.180086	2000752.140252	-2184.506505	9632.321130
13300.000000	5507859.043584	2944074.815915	-3145.810353	9212.001539
13400.000000	5150083.813636	3839319.478218	-3988.464392	8676.929284
13500.000000	4714564.696889	4676878.387746	-4699.689594	8064.375827
13600.000000	4214549.702013	5450763.057661	-5279.169182	7408.714406
13700.000000	3662849.087450	6158133.907560	-5735.312118	6738.217383
13800.000000	3071157.038607	6798624.920574	-6081.448355	6074.064408
13900.000000	2449718.745375	7373649.366596	-6332.809148	5430.818079
14000.000000	1807248.875196	7885793.610404	-6504.518717	4817.597793
14100.000000	1151005.042782	8338339.573685	-6610.465494	4239.411338
14200.000000	486940.580493	8734915.366166	-6662.801799	3698.356182
14300.000000	-180113.935449	9079254.526330	-6671.833904	3194.582783
14400.000000	-846269.997942	9375039.139883	-6646.124564	2727.012411
14500.000000	-1508416.311722	9625803.878956	-6592.692248	2293.845258
14600.000000	-2164075.711889	9834882.331265	-6517.239203	1892.905937
14700.000000	-2811284.744037	10005381.604427	-6424.372573	1521.870137
14800.000000	-3448494.273256	10140175.164550	-6317.802236	1178.407789
14900.000000	-4074488.459222	10241906.958619	-6200.509971	860.269326
15000.000000	-4688319.209441	10313002.136762	-6074.890170	565.334063
15100.000000	-5289253.392129	10355681.291671	-5942.864887	291.633975
15200.000000	-5876730.422897	10371976.234597	-5805.976898	37.361878
15300.000000	-6450328.213326	10363746.071396	-5665.464476	-199.129944
15400.000000	-7009735.825620	10332692.836240	-5522.321262	-419.336681
15500.000000	-7554731.491067	10280376.263831	-5377.344106	-624.610944
15600.000000	-8085164.914501	10208227.488758	-5231.171311	-816.174063
15700.000000	-8600943.004192	10117561.591587	-5084.313191	-995.127722
15800.000000	-9102018.342169	10009588.991324	-4937.176548	-1162.465318
15900.000000	-9588379.850463	9885425.730866	-4790.084305	-1319.082705
16000.000000	-10060045.220417	9746102.727481	-4643.291279	-1465.788129
16100.000000	-10517054.760696	9592574.072310	-4496.996899	-1603.311306
16200.000000	-10959466.389591	9425724.466266	-4351.355464	-1732.311622
16300.000000	-11387351.552541	9246375.878097	-4206.484461	-1853.385496
16400.000000	-11800791.889548	9055293.505802	-4062.471306	-1967.072959
16500.000000	-12199876.511866	8853191.116602	-3919.378831	-2073.863516
16600.000000	-12584699.774813	8640735.833969	-3777.249758	-2174.201356
16700.000000	-12955359.455487	8418552.433537	-3636.110350	-2268.489972
16800.000000	-13311955.261604	8187227.203248	-3495.973407	-2357.096268
16900.000000	-13654587.611594	7947311.417010	-3356.840713	-2440.354193
17000.000000	-13983356.637341	7699324.465636	-3218.705055	-2518.567965
17100.000000	-14298361.369865	7443756.683816	-3081.551880	-2592.014937
17200.000000	-14599699.075541	7181071.907368	-2945.360655	-2660.948133
17300.000000	-14887464.716297	6911709.791074	-2810.105992	-2725.598503
