time	x	y	v_x	v_y
553620.000000	-2440706071.582325	3845157972.803823	-4366.121707	6903.095742	19076824.948993
553680.000000	-2440968038.866107	3845572158.518990	-4366.121086	6903.094764	19076819.527862
553740.000000	-2441230006.112657	3845986344.175501	-4366.120466	6903.093786	19076814.107900
553800.000000	-2441491973.321984	3846400529.773369	-4366.119845	6903.092809	19076808.689107
553860.000000	-2441753940.494095	3846814715.312607	-4366.119225	6903.091832	19076803.271481
553920.000000	-2442015907.628998	3847228900.793226	-4366.118605	6903.090855	19076797.855023
553980.000000	-2442277874.726702	3847643086.215241	-4366.117985	6903.089879	19076792.439732
554040.000000	-2442539841.787215	3848057271.578662	-4366.117365	6903.088902	19076787.025608
554100.000000	-2442801808.810544	3848471456.883503	-4366.116746	6903.087926	19076781.612650
554160.000000	-2443063775.796697	3848885642.129777	-4366.116126	6903.086950	19076776.200858
554220.000000	-2443325742.745683	3849299827.317495	-4366.115507	6903.085974	19076770.790232
554280.000000	-2443587709.657510	3849714012.446672	-4366.114887	6903.084998	19076765.380772
554340.000000	-2443849676.532185	3850128197.517318	-4366.114268	6903.084023	19076759.972476
554400.000000	-2444111643.369716	3850542382.529447	-4366.113649	6903.083048	19076754.565345
554460.000000	-2444373610.170112	3850956567.483072	-4366.113031	6903.082073	19076749.159378
554520.000000	-2444635576.933381	3851370752.378204	-4366.112412	6903.081098	19076743.754574
554580.000000	-2444897543.659529	3851784937.214857	-4366.111793	6903.080124	19076738.350934
554640.000000	-2445159510.348567	3852199121.993043	-4366.111175	6903.079149	19076732.948458
554700.000000	-2445421477.000500	3852613306.712774	-4366.110556	6903.078175	19076727.547143
554760.000000	-2445683443.615338	3853027491.374064	-4366.109938	6903.077201	19076722.146992
554820.000000	-2445945410.193089	3853441675.976924	-4366.109320	6903.076227	19076716.748002
554880.000000	-2446207376.733759	3853855860.521368	-4366.108702	6903.075254	19076711.350173
554940.000000	-2446469343.237359	3854270045.007407	-4366.108084	6903.074281	19076705.953506
555000.000000	-2446731309.703894	3854684229.435055	-4366.107467	6903.073308	19076700.557999
555060.000000	-2446993276.133373	3855098413.804323	-4366.106849	6903.072335	19076695.163653
555120.000000	-2447255242.525805	3855512598.115225	-4366.106232	6903.071362	19076689.770467
555180.000000	-2447517208.881197	3855926782.367772	-4366.105615	6903.070390	19076684.378441
555240.000000	-2447779175.199557	3856340966.561978	-4366.104997	6903.069417	19076678.987574
555300.000000	-2448041141.480893	3856755150.697855	-4366.104380	6903.068445	19076673.597866
555360.000000	-2448303107.725213	3857169334.775415	-4366.103764	6903.067473	19076668.209316
555420.000000	-2448565073.932525	3857583518.794671	-4366.103147	6903.066502	19076662.821925
555480.000000	-2448827040.102837	3857997702.755635	-4366.102530	6903.065530	19076657.435691
555540.000000	-2449089006.236157	3858411886.658320	-4366.101914	6903.064559	19076652.050615
555600.000000	-2449350972.332493	3858826070.502739	-4366.101297	6903.063588	19076646.666696
555660.000000	-2449612938.391852	3859240254.288903	-4366.100681	6903.062617	19076641.283933
555720.000000	-2449874904.414244	3859654438.016826	-4366.100065	6903.061647	19076635.902327
555780.000000	-2450136870.399674	3860068621.686519	-4366.099449	6903.060676	19076630.521877
555840.000000	-2450398836.348153	3860482805.297996	-4366.098833	6903.059706	19076625.142582
555900.000000	-2450660802.259687	3860896988.851269	-4366.098218	6903.058736	19076619.764442
555960.000000	-2450922768.134285	3861311172.346350	-4366.097602	6903.057766	19076614.387458
556020.000000	-2451184733.971953	3861725355.783251	-4366.096987	6903.056797	19076609.011627
556080.000000	-2451446699.772701	3862139539.161986	-4366.096372	6903.055828	19076603.636951
556140.000000	-2451708665.536537	3862553722.482566	-4366.095756	6903.054858	19076598.263429
556200.000000	-2451970631.263467	3862967905.745005	-4366.095141	6903.053890	19076592.891059
556260.000000	-2452232596.953501	3863382088.949314	-4366.094526	6903.052921	19076587.519843
556320.000000	-2452494562.606645	3863796272.095506	-4366.093912	6903.051952	19076582.149779
556380.000000	-2452756528.222909	3864210455.183593	-4366.093297	6903.050984	19076576.780868
