time	x	y	v_x	v_y
149160.000004	260601555.782465	42893608.531440	903.310761	-142.667889
149220.000004	260655744.716683	42885046.614349	902.987070	-142.729341
149280.000004	260709914.233741	42876481.011240	902.663522	-142.790756
149340.000004	260764064.342220	42867911.724422	902.340117	-142.852132
149400.000004	260818195.050697	42859338.756199	902.016856	-142.913469
149460.000004	260872306.367736	42850762.108873	901.693736	-142.974769
149520.000004	260926398.301901	42842181.784741	901.370760	-143.036029
149580.000004	260980470.861744	42833597.786100	901.047926	-143.097252
149640.000004	261034524.055813	42825010.115241	900.725234	-143.158437
149700.000004	261088557.892651	42816418.774454	900.402684	-143.219583
149760.000004	261142572.380793	42807823.766023	900.080277	-143.280692
149820.000004	261196567.528766	42799225.092233	899.758012	-143.341762
149880.000004	261250543.345092	42790622.755363	899.435889	-143.402794
149940.000004	261304499.838288	42782016.757689	899.113908	-143.463789
150000.000004	261358437.016860	42773407.101486	898.792068	-143.524745
150060.000004	261412354.889313	42764793.789023	898.470370	-143.585664
150120.000004	261466253.464140	42756176.822569	898.148814	-143.646545
150180.000004	261520132.749832	42747556.204387	897.827399	-143.707388
150240.000004	261573992.754872	42738931.936739	897.506126	-143.768194
150300.000004	261627833.487736	42730304.021884	897.184993	-143.828962
150360.000004	261681654.956894	42721672.462075	896.864002	-143.889692
150420.000004	261735457.170810	42713037.259566	896.543152	-143.950385
150480.000004	261789240.137940	42704398.416606	896.222443	-144.011041
150540.000004	261843003.866736	42695755.935441	895.901874	-144.071659
150600.000004	261896748.365641	42687109.818313	895.581446	-144.132239
150660.000004	261950473.643094	42678460.067463	895.261159	-144.192783
150720.000004	262004179.707527	42669806.685128	894.941012	-144.253289
150780.000004	262057866.567363	42661149.673540	894.621006	-144.313758
150840.000004	262111534.231022	42652489.034933	894.301140	-144.374190
150900.000004	262165182.706917	42643824.771532	893.981414	-144.434584
150960.000004	262218812.003453	42635156.885563	893.661828	-144.494942
151020.000004	262272422.129031	42626485.379248	893.342382	-144.555262
151080.000004	262326013.092044	42617810.254806	893.023075	-144.615546
151140.000004	262379584.900879	42609131.514452	892.703909	-144.675793
151200.000004	262433137.563916	42600449.160399	892.384882	-144.736003
151260.000004	262486671.089531	42591763.194857	892.065995	-144.796176
151320.000004	262540185.486091	42583073.620033	891.747247	-144.856312
151380.000004	262593680.761959	42574380.438130	891.428638	-144.916412
151440.000004	262647156.925491	42565683.651349	891.110169	-144.976475
151500.000004	262700613.985035	42556983.261889	890.791839	-145.036501
151560.000004	262754051.948935	42548279.271943	890.473648	-145.096491
151620.000004	262807470.825528	42539571.683703	890.155595	-145.156444
151680.000004	262860870.623145	42530860.499359	889.837682	-145.216361
151740.000004	262914251.350110	42522145.721097	889.519907	-145.276242
151800.000004	262967613.014741	42513427.351098	889.202271	-145.336086
151860.000004	263020955.625351	42504705.391544	888.884773	-145.395893
151920.000004	263074279.190246	42495979.844610	888.567413	-145.455665
151980.000004	263127583.717725	42487250.712472	888.250192	-145.515400
152040.000004	263180869.216082	42478517.997300	887.933109	-145.575099
152100.000004	263234135.693604	42469781.701262	887.616164	-145.634762
152160.000004	263287383.158574	42461041.826523	887.299358	-145.694389
152220.000004	263340611.619265	42452298.375246	886.982688	-145.753980
152280.000004	263393821.083946	42443551.349590	886.666157	-145.813535
152340.000004	263447011.560882	42434800.751710	886.349764	-145.873055
152400.000004	263500183.058328	42426046.583761	886.033508	-145.932538
152460.000004	263553335.584536	42417288.847893	885.717389	-145.991985
152520.000004	263606469.147750	42408527.546253	885.401408	-146.051397
152580.000004	263659583.756207	42399762.680986	885.085564	-146.110773
152640.000004	263712679.418142	42390994.254234	884.769857	-146.170113
152700.000004	263765756.141780	42382222.268134	884.454287	-146.229418
152760.000004	263818813.935341	42373446.724824	884.138854	-146.288687
152820.000004	263871852.807040	42364667.626436	883.823558	-146.347920
